Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
FAST,BRISK,9,5225,288,3.500,12.250,3.292,41.705,MAT_BF,SEL_NN,4883,38.447,2097.918,103.934,-1.094

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
FAST,BRIEF,0,5275,0,0.000,0.000,3.682,18.899,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
FAST,BRIEF,1,5291,265,3.500,12.250,3.240,17.485,MAT_BF,SEL_NN,4627,9.315,176.707,106.301,13.420
FAST,BRIEF,2,5202,299,3.500,12.250,3.132,17.244,MAT_BF,SEL_NN,4630,9.379,182.681,105.434,20.451
FAST,BRIEF,3,5090,295,3.500,12.250,3.618,17.673,MAT_BF,SEL_NN,4572,9.204,171.983,105.052,17.494
FAST,BRIEF,4,5118,272,3.500,12.250,3.529,18.289,MAT_BF,SEL_NN,4519,9.299,172.655,101.077,14.843
FAST,BRIEF,5,5180,265,3.500,12.250,3.421,18.515,MAT_BF,SEL_NN,4518,8.888,160.326,107.570,15.456
FAST,BRIEF,6,5192,242,3.500,12.250,3.437,21.983,MAT_BF,SEL_NN,4516,8.954,161.500,101.413,14.563
FAST,BRIEF,7,5177,287,3.500,12.250,3.420,17.583,MAT_BF,SEL_NN,4494,9.172,165.697,115.267,15.242
FAST,BRIEF,8,5176,269,3.500,12.250,3.130,16.692,MAT_BF,SEL_NN,4483,9.055,167.326,100.435,13.936
FAST,BRIEF,9,5225,263,3.500,12.250,2.956,16.618,MAT_BF,SEL_NN,4478,9.095,169.227,100.431,14.279

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
FAST,ORB,0,5275,0,0.000,0.000,3.682,10.458,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
FAST,ORB,1,5291,267,3.500,12.250,3.229,10.677,MAT_BF,SEL_NN,4564,11.574,269.703,108.950,13.149
FAST,ORB,2,5202,283,3.500,12.250,3.164,9.883,MAT_BF,SEL_NN,4564,11.530,270.519,107.209,14.617
FAST,ORB,3,5090,300,3.500,12.250,3.200,9.590,MAT_BF,SEL_NN,4525,11.451,265.891,105.487,15.723
FAST,ORB,4,5118,273,3.500,12.250,3.572,11.749,MAT_BF,SEL_NN,4464,11.598,266.611,116.441,16.769
FAST,ORB,5,5180,261,3.500,12.250,3.767,10.279,MAT_BF,SEL_NN,4462,11.127,251.253,114.910,35.383
FAST,ORB,6,5192,256,3.500,12.250,3.959,15.092,MAT_BF,SEL_NN,4452,11.090,246.026,123.850,16.129
FAST,ORB,7,5177,284,3.500,12.250,3.772,12.016,MAT_BF,SEL_NN,4415,11.552,261.298,133.828,16.525
FAST,ORB,8,5176,282,3.500,12.250,4.497,18.732,MAT_BF,SEL_NN,4401,11.213,252.909,159.376,16.975
FAST,ORB,9,5225,271,3.500,12.250,3.535,14.330,MAT_BF,SEL_NN,4406,11.552,263.921,116.193,14.859

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
FAST,FREAK,0,5275,0,0.000,0.000,3.195,97.796,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
FAST,FREAK,1,5291,258,3.500,12.250,3.365,90.432,MAT_BF,SEL_NN,4726,29.889,1341.087,122.118,-10.600
FAST,FREAK,2,5202,286,3.500,12.250,3.582,93.508,MAT_BF,SEL_NN,4726,29.653,1328.666,117.669,-9.651
FAST,FREAK,3,5090,279,3.500,12.250,4.048,107.018,MAT_BF,SEL_NN,4679,29.415,1302.458,151.593,-118.550
FAST,FREAK,4,5118,296,3.500,12.250,4.109,95.527,MAT_BF,SEL_NN,4618,29.914,1340.103,118.347,-8.155
FAST,FREAK,5,5180,236,3.500,12.250,3.235,88.126,MAT_BF,SEL_NN,4597,29.179,1305.919,123.000,83.882
FAST,FREAK,6,5192,253,3.500,12.250,3.439,96.690,MAT_BF,SEL_NN,4619,29.378,1289.395,115.927,-7.043
FAST,FREAK,7,5177,286,3.500,12.250,3.604,98.277,MAT_BF,SEL_NN,4603,29.806,1297.644,123.634,-4.897
